2024-10-09 15:09:00,535 - INFO - --- Starting Scenario: 2_player_heterogeneous_equiprobable_actions ---
2024-10-09 15:09:00,535 - INFO - Hyperparameters: n_agents=2, action_size=2, sigma_beta=0.5, alpha=1.3, beta_parameters=[0.63461776 0.36538224]
2024-10-09 15:09:00,542 - INFO - Episode 38: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.47619048 0.47619048], Joint Action Frequencies=[0.28571429 0.23809524 0.23809524 0.23809524], Iteration=43
2024-10-09 15:09:00,542 - INFO - Episode 39: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.46511628 0.46511628], Joint Action Frequencies=[0.30232558 0.23255814 0.23255814 0.23255814], Iteration=44
2024-10-09 15:09:00,542 - INFO - Episode 40: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.47727273 0.47727273], Joint Action Frequencies=[0.29545455 0.22727273 0.22727273 0.25      ], Iteration=45
2024-10-09 15:09:00,542 - INFO - Episode 41: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.48888889 0.48888889], Joint Action Frequencies=[0.28888889 0.22222222 0.22222222 0.26666667], Iteration=46
2024-10-09 15:09:00,542 - INFO - Episode 42: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.47826087 0.47826087], Joint Action Frequencies=[0.30434783 0.2173913  0.2173913  0.26086957], Iteration=47
2024-10-09 15:09:00,543 - INFO - Episode 43: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.4893617  0.46808511], Joint Action Frequencies=[0.29787234 0.21276596 0.23404255 0.25531915], Iteration=48
2024-10-09 15:09:00,543 - INFO - Episode 44: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.5        0.45833333], Joint Action Frequencies=[0.29166667 0.20833333 0.25       0.25      ], Iteration=49
2024-10-09 15:09:00,543 - INFO - Episode 45: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.51020408 0.46938776], Joint Action Frequencies=[0.28571429 0.20408163 0.24489796 0.26530612], Iteration=50
2024-10-09 15:09:00,543 - INFO - Episode 46: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.52 0.48], Joint Action Frequencies=[0.28 0.2  0.24 0.28], Iteration=51
2024-10-09 15:09:00,543 - INFO - Episode 47: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.50980392 0.47058824], Joint Action Frequencies=[0.29411765 0.19607843 0.23529412 0.2745098 ], Iteration=52
2024-10-09 15:09:00,543 - INFO - Episode 48: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.5        0.48076923], Joint Action Frequencies=[0.28846154 0.21153846 0.23076923 0.26923077], Iteration=53
2024-10-09 15:09:00,544 - INFO - Episode 49: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.50943396 0.49056604], Joint Action Frequencies=[0.28301887 0.20754717 0.22641509 0.28301887], Iteration=54
2024-10-09 15:09:00,544 - INFO - Episode 50: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.51851852 0.5       ], Joint Action Frequencies=[0.27777778 0.2037037  0.22222222 0.2962963 ], Iteration=55
2024-10-09 15:09:00,544 - INFO - Episode 51: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.50909091 0.49090909], Joint Action Frequencies=[0.29090909 0.2        0.21818182 0.29090909], Iteration=56
2024-10-09 15:09:00,544 - INFO - Episode 52: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.5 0.5], Joint Action Frequencies=[0.28571429 0.21428571 0.21428571 0.28571429], Iteration=57
2024-10-09 15:09:00,544 - INFO - Episode 53: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.49122807 0.50877193], Joint Action Frequencies=[0.28070175 0.22807018 0.21052632 0.28070175], Iteration=58
2024-10-09 15:09:00,544 - INFO - Episode 54: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.48275862 0.51724138], Joint Action Frequencies=[0.27586207 0.24137931 0.20689655 0.27586207], Iteration=59
2024-10-09 15:09:00,545 - INFO - Episode 55: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.47457627 0.52542373], Joint Action Frequencies=[0.27118644 0.25423729 0.20338983 0.27118644], Iteration=60
2024-10-09 15:09:00,545 - INFO - Episode 56: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.46666667 0.51666667], Joint Action Frequencies=[0.28333333 0.25       0.2        0.26666667], Iteration=61
2024-10-09 15:09:00,545 - INFO - Episode 57: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.47540984 0.52459016], Joint Action Frequencies=[0.27868852 0.24590164 0.19672131 0.27868852], Iteration=62
2024-10-09 15:09:00,545 - INFO - Episode 58: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.46774194 0.53225806], Joint Action Frequencies=[0.27419355 0.25806452 0.19354839 0.27419355], Iteration=63
2024-10-09 15:09:00,545 - INFO - Episode 59: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.47619048 0.52380952], Joint Action Frequencies=[0.26984127 0.25396825 0.20634921 0.26984127], Iteration=64
2024-10-09 15:09:00,546 - INFO - Episode 60: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.46875  0.515625], Joint Action Frequencies=[0.28125  0.25     0.203125 0.265625], Iteration=65
